Codigo,Especificacao,Valor
01.00.00,Poder Legislativo,12498000.0
01.01.00,Câmara Municipal,12498000.0
02.00.00,Poder Executivo,558242300.0
02.01.00,Chefia de Gabinete,13518481.0
02.02.00,Secretaria de Assuntos Jurídicos,4330000.0
02.03.00,Secretaria de Empregos, Indústria e Comércio,5363000.0
02.04.00,Secretaria Municipal de Administração,13035000.0
02.05.00,Secretaria Municipal da Fazenda,3269000.0
02.06.00,Secretaria Municipal de Planejamento,5970000.0
02.07.00,Secretaria Mun. Obras, Serviços e Infraestrutura Urbana,94417545.0
02.08.00,Fundo Mun. Con. Serv. Prot. Defesa do Meio Ambiente,0
02.09.00,Fundo Municipal de Desenvolvimento Agropecuário,0
02.10.00,Secretaria Municipal de Saúde / Fundo Municipal de Saúde,174796510.0
02.11.00,Secretaria Municipal de Educação,87428200.0
02.12.00,Fundo de Manutenção e Desenv. da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB,70200000.0
02.13.00,Secretaria Municipal de Assistência e Desenv. Social,6203218.0
02.14.00,Fundo Municipal de Assistência Social,13136406.0
02.15.00,Fundo Municipal dos Direitos da Criança e do Adolescente,460000.00
02.17.00,Fundo Municipal de Turismo FUNTUR,0
02.18.00,Fundo de Assistência à Cultura,0
02.19.00,Fundo Municipal de Esportes - FUNMEL,0
02.20.00,Secretaria Mun. de Defesa Social / Fundo Mun. de Trânsito,21966000.0
02.21.00,Fundo Municipal de Habitação,3006000.0
02.22.00,Fundo de Desenvolvimento da Cidade,0
02.23.00,Fundo Municipal do Idoso,0
02.24.00,Fundo do Bem Estar Animal,0
02.25.00,Secretaria Municipal de Meio Ambiente e Agricultura,2885000.0
02.26.00,Secretaria Municipal de Governo,848200.0
02.27.00,Fundo Mun. Saneam. Ambiental e Infraestrutura,0
02.28.00,Secretaria Municipal de Finanças,9574500.0
02.29.00,Secretaria Municipal de Turismo,15610000.00
02.30.00,Secretaria Municipal de Cultura e Esportes,5916000.00
02.31.00,Fundo Municipal de Interesses Difusos,0
02.32.00,Fundo de Prev. Comb. e Manut. Bombeiros,0
02.33.00,Fundo Munic. de Economia Solidária,0
02.99.00,Reserva de Contingência,1500000.0
03.00.00,AUTARQUIA (PERUIBEPREV),0
03.01.00,PERUIBE PREV,0
TOTAL,TOTAL,570740300.0
